NAME,NAMELSAD,City Long,CountState,STATE_NAME
Parrottsville,Parrottsville town,"Parrottsville town, Tennessee","Cocke County, Tennessee",Tennessee
Tiptonville,Tiptonville town,"Tiptonville town, Tennessee","Lake County, Tennessee",Tennessee
Spencer,Spencer town,"Spencer town, Tennessee","Van Buren County, Tennessee",Tennessee
Charleston,Charleston city,"Charleston city, Tennessee","Bradley County, Tennessee",Tennessee
Centerville,Centerville town,"Centerville town, Tennessee","Hickman County, Tennessee",Tennessee
Cumberland Gap,Cumberland Gap town,"Cumberland Gap town, Tennessee","Claiborne County, Tennessee",Tennessee
Doyle,Doyle town,"Doyle town, Tennessee","White County, Tennessee",Tennessee
Sweetwater,Sweetwater city,"Sweetwater city, Tennessee","Monroe County, Tennessee",Tennessee
Athens,Athens city,"Athens city, Tennessee","McMinn County, Tennessee",Tennessee
Mount Juliet,Mount Juliet city,"Mount Juliet city, Tennessee","Wilson County, Tennessee",Tennessee
Rockwood,Rockwood city,"Rockwood city, Tennessee","Roane County, Tennessee",Tennessee
Tullahoma,Tullahoma city,"Tullahoma city, Tennessee","Coffee County, Tennessee",Tennessee
Cornersville,Cornersville town,"Cornersville town, Tennessee","Marshall County, Tennessee",Tennessee
Fayetteville,Fayetteville city,"Fayetteville city, Tennessee","Lincoln County, Tennessee",Tennessee
Parsons,Parsons city,"Parsons city, Tennessee","Decatur County, Tennessee",Tennessee
Cleveland,Cleveland city,"Cleveland city, Tennessee","Bradley County, Tennessee",Tennessee
Erwin,Erwin town,"Erwin town, Tennessee","Unicoi County, Tennessee",Tennessee
Jasper,Jasper town,"Jasper town, Tennessee","Marion County, Tennessee",Tennessee
Kimball,Kimball town,"Kimball town, Tennessee","Marion County, Tennessee",Tennessee
Clarksville,Clarksville city,"Clarksville city, Tennessee","Montgomery County, Tennessee",Tennessee
Dyersburg,Dyersburg city,"Dyersburg city, Tennessee","Dyer County, Tennessee",Tennessee
Dandridge,Dandridge town,"Dandridge town, Tennessee","Jefferson County, Tennessee",Tennessee
Jefferson City,Jefferson City city,"Jefferson City city, Tennessee","Jefferson County, Tennessee",Tennessee
Signal Mountain,Signal Mountain town,"Signal Mountain town, Tennessee","Hamilton County, Tennessee",Tennessee
Walden,Walden town,"Walden town, Tennessee","Hamilton County, Tennessee",Tennessee
South Pittsburg,South Pittsburg city,"South Pittsburg city, Tennessee","Marion County, Tennessee",Tennessee
Whitwell,Whitwell city,"Whitwell city, Tennessee","Marion County, Tennessee",Tennessee
Atwood,Atwood town,"Atwood town, Tennessee","Carroll County, Tennessee",Tennessee
Clarksburg,Clarksburg town,"Clarksburg town, Tennessee","Carroll County, Tennessee",Tennessee
Hollow Rock,Hollow Rock town,"Hollow Rock town, Tennessee","Carroll County, Tennessee",Tennessee
Dover,Dover city,"Dover city, Tennessee","Stewart County, Tennessee",Tennessee
Pigeon Forge,Pigeon Forge city,"Pigeon Forge city, Tennessee","Sevier County, Tennessee",Tennessee
Jonesborough,Jonesborough town,"Jonesborough town, Tennessee","Washington County, Tennessee",Tennessee
Lexington,Lexington city,"Lexington city, Tennessee","Henderson County, Tennessee",Tennessee
Petersburg,Petersburg town,"Petersburg town, Tennessee","Lincoln County, Tennessee",Tennessee
Westmoreland,Westmoreland town,"Westmoreland town, Tennessee","Sumner County, Tennessee",Tennessee
Liberty,Liberty town,"Liberty town, Tennessee","DeKalb County, Tennessee",Tennessee
Kingsport,Kingsport city,"Kingsport city, Tennessee","Sullivan County, Tennessee",Tennessee
Mount Carmel,Mount Carmel town,"Mount Carmel town, Tennessee","Hawkins County, Tennessee",Tennessee
Rogersville,Rogersville town,"Rogersville town, Tennessee","Hawkins County, Tennessee",Tennessee
Jackson,Jackson city,"Jackson city, Tennessee","Madison County, Tennessee",Tennessee
Kingston Springs,Kingston Springs town,"Kingston Springs town, Tennessee","Cheatham County, Tennessee",Tennessee
Pegram,Pegram town,"Pegram town, Tennessee","Cheatham County, Tennessee",Tennessee
Pleasant View,Pleasant View city,"Pleasant View city, Tennessee","Cheatham County, Tennessee",Tennessee
New Hope,New Hope city,"New Hope city, Tennessee","Marion County, Tennessee",Tennessee
Eagleville,Eagleville city,"Eagleville city, Tennessee","Rutherford County, Tennessee",Tennessee
Silerton,Silerton town,"Silerton town, Tennessee","Hardeman County, Tennessee",Tennessee
Cumberland City,Cumberland City town,"Cumberland City town, Tennessee","Stewart County, Tennessee",Tennessee
Halls,Halls town,"Halls town, Tennessee","Lauderdale County, Tennessee",Tennessee
Henning,Henning town,"Henning town, Tennessee","Lauderdale County, Tennessee",Tennessee
Ripley,Ripley city,"Ripley city, Tennessee","Lauderdale County, Tennessee",Tennessee
East Ridge,East Ridge city,"East Ridge city, Tennessee","Hamilton County, Tennessee",Tennessee
Lakesite,Lakesite city,"Lakesite city, Tennessee","Hamilton County, Tennessee",Tennessee
Red Bank,Red Bank city,"Red Bank city, Tennessee","Hamilton County, Tennessee",Tennessee
Ridgeside,Ridgeside city,"Ridgeside city, Tennessee","Hamilton County, Tennessee",Tennessee
Tennessee Ridge,Tennessee Ridge town,"Tennessee Ridge town, Tennessee","Houston County, Tennessee",Tennessee
Algood,Algood city,"Algood city, Tennessee","Putnam County, Tennessee",Tennessee
Scotts Hill,Scotts Hill town,"Scotts Hill town, Tennessee","Henderson County, Tennessee",Tennessee
White Bluff,White Bluff town,"White Bluff town, Tennessee","Dickson County, Tennessee",Tennessee
Dickson,Dickson city,"Dickson city, Tennessee","Dickson County, Tennessee",Tennessee
Parker's Crossroads,Parker's Crossroads city,"Parker's Crossroads city, Tennessee","Henderson County, Tennessee",Tennessee
Sardis,Sardis town,"Sardis town, Tennessee","Henderson County, Tennessee",Tennessee
Ardmore,Ardmore city,"Ardmore city, Tennessee","Giles County, Tennessee",Tennessee
Elkton,Elkton city,"Elkton city, Tennessee","Giles County, Tennessee",Tennessee
Lynnville,Lynnville town,"Lynnville town, Tennessee","Giles County, Tennessee",Tennessee
Linden,Linden town,"Linden town, Tennessee","Perry County, Tennessee",Tennessee
Lobelville,Lobelville city,"Lobelville city, Tennessee","Perry County, Tennessee",Tennessee
Orme,Orme town,"Orme town, Tennessee","Marion County, Tennessee",Tennessee
Powells Crossroads,Powells Crossroads town,"Powells Crossroads town, Tennessee","Marion County, Tennessee",Tennessee
Burns,Burns town,"Burns town, Tennessee","Dickson County, Tennessee",Tennessee
Charlotte,Charlotte town,"Charlotte town, Tennessee","Dickson County, Tennessee",Tennessee
Sparta,Sparta city,"Sparta city, Tennessee","White County, Tennessee",Tennessee
Slayden,Slayden town,"Slayden town, Tennessee","Dickson County, Tennessee",Tennessee
Vanleer,Vanleer town,"Vanleer town, Tennessee","Dickson County, Tennessee",Tennessee
Enville,Enville town,"Enville town, Tennessee","Chester County, Tennessee",Tennessee
Milledgeville,Milledgeville town,"Milledgeville town, Tennessee","McNairy County, Tennessee",Tennessee
Gruetli-Laager,Gruetli-Laager city,"Gruetli-Laager city, Tennessee","Grundy County, Tennessee",Tennessee
Tracy City,Tracy City town,"Tracy City town, Tennessee","Grundy County, Tennessee",Tennessee
Palmer,Palmer town,"Palmer town, Tennessee","Grundy County, Tennessee",Tennessee
Dyer,Dyer city,"Dyer city, Tennessee","Gibson County, Tennessee",Tennessee
Stanton,Stanton town,"Stanton town, Tennessee","Haywood County, Tennessee",Tennessee
Smithville,Smithville city,"Smithville city, Tennessee","DeKalb County, Tennessee",Tennessee
Normandy,Normandy town,"Normandy town, Tennessee","Bedford County, Tennessee",Tennessee
Rocky Top,Rocky Top city,"Rocky Top city, Tennessee","Anderson County, Tennessee",Tennessee
Burlison,Burlison town,"Burlison town, Tennessee","Tipton County, Tennessee",Tennessee
Covington,Covington city,"Covington city, Tennessee","Tipton County, Tennessee",Tennessee
Gilt Edge,Gilt Edge city,"Gilt Edge city, Tennessee","Tipton County, Tennessee",Tennessee
Mason,Mason town,"Mason town, Tennessee","Tipton County, Tennessee",Tennessee
Munford,Munford city,"Munford city, Tennessee","Tipton County, Tennessee",Tennessee
Livingston,Livingston town,"Livingston town, Tennessee","Overton County, Tennessee",Tennessee
Cross Plains,Cross Plains city,"Cross Plains city, Tennessee","Robertson County, Tennessee",Tennessee
Millersville,Millersville city,"Millersville city, Tennessee","Sumner County, Tennessee",Tennessee
White House,White House city,"White House city, Tennessee","Robertson County, Tennessee",Tennessee
