geoid,geo_type,lat,lon
0164152,place,31.1225476,-85.4396483
0117176,place,32.4953941,-86.3265431
0123656,place,32.5566058,-86.3410246
0181720,place,32.5420184,-86.2053074
0100460,place,33.6023153,-86.9715269
0109736,place,33.6374043,-86.89266
0128552,place,33.6173629,-86.8014363
0134024,place,33.2844714,-86.8864838
0139856,place,33.7769822,-86.8001982
0141968,place,33.546847,-86.5714476
0148376,place,33.4552718,-86.9224139
0151696,place,33.4914885,-86.7344699
0155152,place,33.3677685,-87.1007246
0145904,place,31.0356354,-85.3992045
0174304,place,32.1046143,-87.8618892
0125816,place,32.4576144,-87.5937886
0129392,place,32.868715,-88.318154
0148712,place,32.5014739,-86.3739136
0162328,place,32.4490415,-86.4494008
0122816,place,32.6402222,-86.0410625
0157120,place,31.2843753,-86.2574417
0124880,place,31.4263861,-87.3436633
0150192,place,31.5162233,-87.3277136
0179272,place,31.823234,-87.3180765
0102116,place,34.3323868,-86.5011665
0132416,place,34.3679473,-86.2523225
0148808,place,33.5559349,-88.0823817
0173728,place,33.8911888,-88.126633
0178480,place,33.7588163,-88.1142907
0120392,place,34.0273794,-88.1678308
0167176,place,31.7240719,-86.3020085
0135200,place,34.3342457,-87.9231597
0159496,place,34.3515467,-87.7073592
0178984,place,34.3761752,-88.0605721
0113264,place,33.6439031,-86.6845668
0125120,place,33.4748022,-86.9194074
0107120,place,31.0097704,-85.7444199
0116240,place,31.1658359,-85.9108977
0132896,place,34.566232,-85.6403484
0125384,place,34.2501953,-86.6777238
0130496,place,34.1106885,-86.8671043
0135560,place,34.1676864,-86.6120674
0152848,place,33.5276441,-85.9538092
0123176,place,33.8837398,-85.4141243
0163408,place,33.5258526,-85.3390128
0133976,place,33.6473996,-85.5693387
0171190,place,32.5228523,-85.0994255
0143744,place,32.6079461,-85.598479
0142160,place,34.6936802,-87.5242822
0177280,place,34.7185022,-87.7025864
0114152,place,34.7577002,-87.9655891
0143648,place,34.5951205,-87.6707295
0129032,place,34.0146877,-86.7490538
0103676,place,34.2608584,-86.6087877
0116684,place,33.9413934,-86.9020005
0120955,place,34.0432753,-86.8855239
0109208,place,31.1091749,-87.0765833
0146768,place,32.6319678,-87.3173331
0177904,place,32.4466205,-87.487271
0157240,place,32.3067686,-87.2454473
0178232,place,32.4868717,-87.0327731
0100676,place,32.8790657,-87.7408993
0131720,place,32.700968,-87.5937002
0153784,place,32.5916721,-87.5356139
0110240,place,31.7176386,-85.8175502
0111416,place,33.1223194,-86.7456439
0142808,place,31.2400501,-86.4569553
0168016,place,31.2988195,-86.3988477
0116264,place,31.7665645,-88.0860494
0169648,place,34.7570189,-87.6970846
0163576,place,34.4360968,-88.1365151
0167056,place,34.5057191,-87.7281226
0128504,place,31.7909894,-87.7442119
0132080,place,31.6986703,-87.7728675
0137096,place,32.2400898,-85.4146703
0103004,place,31.1240665,-87.4577975
0114464,place,33.2925584,-86.3408639
0174592,place,33.4317569,-86.0994543
0184096,place,32.5005859,-88.2913937
0130160,place,31.6712662,-86.1736865
0159328,place,31.8521599,-86.2040072
0148424,place,32.0763726,-85.524417
0101228,place,33.1237058,-88.1593444
0130736,place,33.3222863,-87.9036812
0159472,place,32.4537093,-85.031019
0115136,place,32.8455725,-86.6194937
0175096,place,31.1688107,-85.4757898
0102836,place,31.1852844,-85.2362356
0103364,place,31.1797269,-85.2792111
0171900,place,34.2355674,-86.8639651
0181528,place,34.2387352,-86.9640168
0132656,place,31.4099758,-85.1380681
0180928,place,33.1181762,-87.1252247
0139472,place,32.9791885,-86.0346082
0160648,place,33.7092625,-86.6636132
0146504,place,32.7843914,-86.8796945
0120008,place,32.5890438,-86.3890586
0102500,place,34.0762335,-87.2178311
0153400,place,33.9843865,-87.4854396
0145496,place,31.5464695,-86.7259543
0112496,place,31.2996776,-87.0291292
0125240,place,30.52092,-87.879122
0165208,place,30.557139,-87.7047227
0124808,place,31.433216,-86.9760809
0138152,place,31.5323206,-87.8911826
0175960,place,31.9150108,-87.7372043
0153016,place,34.742657,-87.6337673
0178204,place,32.8087358,-85.18108
0155044,place,34.6800232,-87.3057168
0153856,place,31.3767095,-85.9190283
0158272,place,33.7323211,-87.2801272
0170704,place,33.8221186,-87.0829179
0123296,place,31.417218,-86.0771151
0140096,place,31.2196038,-86.1700752
0132224,place,33.9832195,-87.9023629
0132560,place,34.2693553,-87.8304018
0133856,place,31.354974,-85.3570308
0126992,place,30.3970714,-87.6684582
0144608,place,30.6845882,-87.7392128
0176920,place,31.8019595,-85.9671296
0164368,place,31.4097164,-87.238931
0102956,place,34.7790209,-86.9507986
0142352,place,34.9827513,-87.1555359
0134480,place,33.8945865,-86.4225527
0153448,place,33.9797787,-86.6206144
0166408,place,33.9927555,-86.500325
0177352,place,33.9923143,-87.8522949
0148052,place,33.137044,-88.305942
0159592,place,33.2357825,-88.2894432
0164104,place,33.3782598,-88.0172733
0145640,place,33.1480998,-88.1757492
0174616,place,33.1204519,-86.4377611
0143240,place,32.3013604,-87.7925826
0153112,place,32.2520877,-87.9492614
0162688,place,32.3423864,-87.776115
0175936,place,32.2682775,-87.6237059
0158896,place,33.5603118,-86.2636337
0172888,place,33.941378,-86.1921066
0122216,place,31.0914404,-87.055345
0126824,place,31.0148156,-87.2560158
0165016,place,31.06126,-87.0775305
0103076,place,32.6071215,-85.4909586
0177304,place,32.4187228,-85.6825088
0107912,place,34.1990204,-86.1551515
0121328,place,34.1682576,-86.3233857
0168280,place,34.1724125,-86.119104
0183400,place,33.3744315,-85.3975298
0133424,place,31.1053477,-85.6912249
0142640,place,34.9593505,-87.3728296
0166216,place,34.8277142,-87.2840916
0113648,place,34.1530593,-85.6716834
0146072,place,30.4034097,-87.775895
0104684,place,30.407586,-88.2632709
0114392,place,30.7714495,-88.0796971
0150000,place,30.6682457,-88.1078526
0168160,place,30.8545095,-88.1098092
0102908,place,33.8351967,-86.2700148
0146696,place,33.6728608,-86.463942
0156400,place,33.7008754,-86.4233712
0108104,place,32.7680809,-88.02859
0124664,place,32.8462465,-87.9003315
0127376,place,32.6474351,-87.8674355
0115256,place,33.6965832,-86.6081819
0118040,place,34.6699456,-87.3278925
0138272,place,33.8100663,-85.7552174
0156472,place,33.7897587,-86.029062
0171832,place,33.8908407,-86.0180201
0143888,place,33.8767941,-86.6470933
0157000,place,33.9470381,-86.4897933
0118976,place,34.1768698,-86.8406556
0132968,place,34.0640098,-86.7644356
0119360,place,31.2915336,-85.7117109
0132056,place,31.299869,-85.4502896
0157648,place,31.4516146,-85.6450347
0101852,place,33.6734685,-85.8108912
0135152,place,33.6188012,-85.8461462
0157576,place,33.5964101,-85.8682187
0129464,place,31.0432784,-85.8758332
0107000,place,33.5271744,-86.7970356
0135896,place,33.3751283,-86.8094164
0178552,place,33.4624959,-86.7395079
0179008,place,33.3831453,-86.4025439
0128432,place,33.7295395,-85.4312488
0119912,place,32.3509575,-87.6415726
0157504,place,34.5854576,-86.4550271
0100988,place,34.2631303,-86.21066
0131096,place,34.5181726,-86.2604297
0183976,place,31.9623411,-87.4773585
0151096,place,33.6034288,-86.493786
0164920,place,33.6163941,-86.2043575
0172600,place,33.7405205,-86.4840861
0171496,place,34.4670528,-86.7912026
0176872,place,34.5974448,-87.0813543
0127520,place,31.9862607,-86.5663586
0130808,place,32.1591791,-86.7042347
0133712,place,32.1825948,-86.5785879
0144536,place,32.2764216,-86.6108477
0176080,place,32.9169092,-86.7203347
0163216,place,33.7483254,-86.1359268
0127616,place,34.4573293,-85.6894469
0174400,place,34.5620385,-85.8047223
0151456,place,33.7462233,-86.8007547
0123488,place,34.9326041,-86.9769708
0107672,place,31.6635156,-85.5035265
