geoid,lat,lon
P0101700,32.4058854,-86.9461896
P0100100,34.6961048,-87.7750128
P0100200,34.8102387,-86.9813995
P0101000,34.1280172,-87.360304
P0102400,31.4168403,-85.8136506
P0102500,31.6518575,-86.1534155
P0102300,31.2455283,-85.4691904
P0102600,31.6002249,-87.6129034
P0101100,32.9810481,-87.8577164
P0102701,30.8587699,-87.7634547
P0100700,34.1122109,-85.8023101
P0102702,30.3957147,-87.7297826
P0101301,33.7843167,-87.2005532
P0101801,32.308,-86.3422225
P0100501,34.4007234,-86.3175964
P0101901,32.5698142,-86.2821311
P0100300,34.4893614,-87.0971469
P0101401,33.4345353,-87.0804495
P0102201,32.3597592,-85.1688805
P0100401,34.8521431,-86.5203798
P0101600,33.397478,-85.7813391
P0100900,33.8370266,-86.4303815
P0102000,32.6552477,-85.7714191
P0102101,32.6040035,-85.4465009
P0100800,33.7705162,-85.8279089
P0101502,33.0194183,-86.6810881
P0100402,34.6791857,-86.6856812
P0101202,33.2056477,-87.5250565
P0102803,30.68423,-88.0883638
P0102801,30.9042664,-88.3152785
P0101501,33.3618707,-86.7055154
P0101802,32.3665256,-86.1844924
P0101403,33.5256375,-86.8147243
P0102802,30.6026304,-88.1802196
P0101201,33.3213709,-87.4565979
P0101402,33.662161,-86.7233489
P0101404,33.4744055,-86.7116651
P0100403,34.6880969,-86.5631826
P0100600,34.6438652,-85.9069481
P1208615,25.7710487,-80.2610725
P1208620,25.6979583,-80.3609288
P1209910,26.5812276,-80.2344374
P1208101,27.570814,-82.3401625
P1210308,27.7138472,-82.7132101
P1210303,27.960273,-82.7608629
P1207301,30.4798634,-84.3454519
P1203105,30.3262246,-81.4455736
P1200904,27.9381547,-80.614375
P1208611,25.8211882,-80.1901487
P1201101,26.3301414,-80.2335104
P1210304,27.9141375,-82.7268313
P1212704,28.9245545,-81.0758375
P1208605,25.887917,-80.1908077
P1208621,25.6376088,-80.4424786
P1208618,25.7414137,-80.4338219
P1201112,25.9858231,-80.3524755
P1201105,26.2032978,-80.2560318
P1205703,28.0764279,-82.5944034
P1208303,29.0290228,-82.0850432
P1211704,28.7166484,-81.1591215
P1209702,28.026716,-81.1029745
P1211300,30.6753483,-87.0189188
P1203101,30.4812475,-81.5061572
P1212703,29.0088763,-80.8905488
P1206100,27.7005283,-80.5747894
P1207101,26.5371043,-82.1217069
P1208102,27.4915345,-82.7093612
P1209902,26.8062715,-80.0532604
P1211101,27.4032632,-80.4599199
P1201109,26.0880591,-80.1113157
P1211502,27.2454328,-82.5344077
P1210301,28.0507443,-82.7788668
P1203104,30.3465823,-81.5709837
P1209903,26.709621,-80.0799738
P1209905,26.601175,-80.099528
P1210103,28.207987,-82.8425213
P1212702,29.2452607,-81.1420271
P1209907,26.4598072,-80.1151831
P1201113,26.0064342,-80.20919
P1208604,25.933504,-80.1391725
P1201103,26.2991155,-80.117708
P1201108,26.11973,-80.146667
P1208612,25.8144673,-80.1413732
P1205701,28.009786,-82.4396977
P1204798,30.1639041,-83.3353677
P1201116,26.1794537,-80.1417886
P1201398,30.1969122,-84.7822987
P1209908,26.3790517,-80.1087659
P1210307,27.7867303,-82.623409
P1201107,26.1606921,-80.2161919
P1203301,30.790359,-87.3901267
P1200500,30.1379329,-85.6299466
P1200902,28.4130039,-80.6307946
P1208500,27.0836036,-80.3982011
P1202102,26.0789861,-81.7937074
P1201500,26.906358,-82.0036297
P1205708,27.7111243,-82.4001974
P1203302,30.4547771,-87.225613
P1209901,26.920478,-80.187741
P1209906,26.5370195,-80.1033524
P1201104,26.2394741,-80.1301005
P1201114,25.9843801,-80.1870983
P1208616,25.6837298,-80.2969268
P1202103,26.1199547,-81.304796
P1202101,26.2557123,-81.7624243
P1208103,27.4248891,-82.2407881
P1208601,25.9344773,-80.3597431
P1201106,26.1382828,-80.2830705
P1205707,27.9430495,-82.3260944
P1207104,26.6261999,-81.8194323
P1208608,25.8354968,-80.4224809
P1201111,26.0119178,-80.3554034
P1209911,26.643093,-80.5710737
P1212701,29.1551527,-81.4100156
P1209509,28.4125112,-81.1510957
P1203106,30.2141958,-81.5056528
P1210306,27.8499935,-82.6990495
P1200101,29.662549,-82.3361445
P1209510,28.5258489,-81.1024512
P1209904,26.6465751,-80.1255449
P1209909,26.365316,-80.2107297
P1201110,26.0704713,-80.2728635
P1201102,26.244562,-80.2034439
P1208606,25.8694051,-80.2447567
P1209508,28.5805179,-81.2401751
P1208614,25.7384314,-80.165745
P1207105,26.4489795,-81.727025
P1211501,27.3400553,-82.5352779
P1211503,27.1642443,-82.2838554
P1208623,25.5597172,-80.3408625
P1207102,26.6051569,-81.9473102
P1200901,28.6134834,-80.8617408
P1203102,30.3555878,-81.7152913
P1210104,28.2076915,-82.3859147
P1203500,29.4748909,-81.2862532
P1208610,25.8179353,-80.3339997
P1208607,25.8839084,-80.3223265
P1208302,29.1776513,-82.1586207
P1205704,28.11119,-82.483903
P1211702,28.7630921,-81.3190762
P1209701,28.2270105,-81.4980658
P1210503,27.968447,-81.8654478
P1209501,28.7021313,-81.5431058
P1209507,28.6045929,-81.3791536
P1209506,28.5371861,-81.4376265
P1200905,28.2887591,-80.7914416
P1210799,29.6371652,-81.6646169
P1200798,29.6452541,-82.8155766
P1207106,26.6596784,-82.014731
P1201902,30.136109,-81.750699
P1203303,30.321857,-87.23339
P1201117,26.082431,-80.3855385
P1211900,28.7132767,-82.0695548
P1200398,30.4893023,-82.0117433
P1210305,27.8433313,-82.7933426
P1210302,28.0205902,-82.7320837
P1203103,30.2582326,-81.737724
P1200903,28.0170221,-80.7536479
P1208624,25.4831848,-80.4661381
P1205702,27.9336165,-82.4118631
P1210102,28.3112154,-82.5889844
P1208603,25.9381968,-80.1866481
P1208613,25.7842953,-80.2080885
P1207103,26.6766692,-81.6988461
P1208301,29.2541125,-82.0255965
P1203107,30.191627,-81.618859
P1208617,25.7283652,-80.3183988
