geoid,geo_type,name,name_lsad,display_name,state_abbr,state_name,county_geoid,is_ambiguous
4757040,place,Parrottsville,Parrottsville town,"Parrottsville town, Tennessee",TN,Tennessee,47029,False
4774540,place,Tiptonville,Tiptonville town,"Tiptonville town, Tennessee",TN,Tennessee,47095,False
4770240,place,Spencer,Spencer town,"Spencer town, Tennessee",TN,Tennessee,47175,False
4713020,place,Charleston,Charleston city,"Charleston city, Tennessee",TN,Tennessee,47011,False
4712420,place,Centerville,Centerville town,"Centerville town, Tennessee",TN,Tennessee,47081,False
4718880,place,Cumberland Gap,Cumberland Gap town,"Cumberland Gap town, Tennessee",TN,Tennessee,47025,False
4721500,place,Doyle,Doyle town,"Doyle town, Tennessee",TN,Tennessee,47185,False
4772540,place,Sweetwater,Sweetwater city,"Sweetwater city, Tennessee",TN,Tennessee,47123,False
4702320,place,Athens,Athens city,"Athens city, Tennessee",TN,Tennessee,47107,False
4750780,place,Mount Juliet,Mount Juliet city,"Mount Juliet city, Tennessee",TN,Tennessee,47189,False
4764440,place,Rockwood,Rockwood city,"Rockwood city, Tennessee",TN,Tennessee,47145,False
4775320,place,Tullahoma,Tullahoma city,"Tullahoma city, Tennessee",TN,Tennessee,47031,False
4717180,place,Cornersville,Cornersville town,"Cornersville town, Tennessee",TN,Tennessee,47117,False
4725920,place,Fayetteville,Fayetteville city,"Fayetteville city, Tennessee",TN,Tennessee,47103,False
4757080,place,Parsons,Parsons city,"Parsons city, Tennessee",TN,Tennessee,47039,False
4715400,place,Cleveland,Cleveland city,"Cleveland city, Tennessee",TN,Tennessee,47011,False
4724360,place,Erwin,Erwin town,"Erwin town, Tennessee",TN,Tennessee,47171,False
4737820,place,Jasper,Jasper town,"Jasper town, Tennessee",TN,Tennessee,47115,False
4739400,place,Kimball,Kimball town,"Kimball town, Tennessee",TN,Tennessee,47115,False
4715160,place,Clarksville,Clarksville city,"Clarksville city, Tennessee",TN,Tennessee,47125,False
4722200,place,Dyersburg,Dyersburg city,"Dyersburg city, Tennessee",TN,Tennessee,47045,False
4719380,place,Dandridge,Dandridge town,"Dandridge town, Tennessee",TN,Tennessee,47089,False
4737960,place,Jefferson City,Jefferson City city,"Jefferson City city, Tennessee",TN,Tennessee,47089,False
4768540,place,Signal Mountain,Signal Mountain town,"Signal Mountain town, Tennessee",TN,Tennessee,47065,False
4777540,place,Walden,Walden town,"Walden town, Tennessee",TN,Tennessee,47065,False
4770060,place,South Pittsburg,South Pittsburg city,"South Pittsburg city, Tennessee",TN,Tennessee,47115,False
4780620,place,Whitwell,Whitwell city,"Whitwell city, Tennessee",TN,Tennessee,47115,False
4702380,place,Atwood,Atwood town,"Atwood town, Tennessee",TN,Tennessee,47017,False
4715140,place,Clarksburg,Clarksburg town,"Clarksburg town, Tennessee",TN,Tennessee,47017,False
4735280,place,Hollow Rock,Hollow Rock town,"Hollow Rock town, Tennessee",TN,Tennessee,47017,False
4721400,place,Dover,Dover city,"Dover city, Tennessee",TN,Tennessee,47161,False
4758080,place,Pigeon Forge,Pigeon Forge city,"Pigeon Forge city, Tennessee",TN,Tennessee,47155,False
4738540,place,Jonesborough,Jonesborough town,"Jonesborough town, Tennessee",TN,Tennessee,47179,False
4741980,place,Lexington,Lexington city,"Lexington city, Tennessee",TN,Tennessee,47077,False
4757740,place,Petersburg,Petersburg town,"Petersburg town, Tennessee",TN,Tennessee,47103,False
4779420,place,Westmoreland,Westmoreland town,"Westmoreland town, Tennessee",TN,Tennessee,47165,False
4742040,place,Liberty,Liberty town,"Liberty town, Tennessee",TN,Tennessee,47041,False
4739560,place,Kingsport,Kingsport city,"Kingsport city, Tennessee",TN,Tennessee,47163,False
4750580,place,Mount Carmel,Mount Carmel town,"Mount Carmel town, Tennessee",TN,Tennessee,47073,False
4764820,place,Rogersville,Rogersville town,"Rogersville town, Tennessee",TN,Tennessee,47073,False
4737640,place,Jackson,Jackson city,"Jackson city, Tennessee",TN,Tennessee,47113,False
4739660,place,Kingston Springs,Kingston Springs town,"Kingston Springs town, Tennessee",TN,Tennessee,47021,False
4757480,place,Pegram,Pegram town,"Pegram town, Tennessee",TN,Tennessee,47021,False
4759560,place,Pleasant View,Pleasant View city,"Pleasant View city, Tennessee",TN,Tennessee,47021,False
4752780,place,New Hope,New Hope city,"New Hope city, Tennessee",TN,Tennessee,47115,False
4722360,place,Eagleville,Eagleville city,"Eagleville city, Tennessee",TN,Tennessee,47149,False
4768560,place,Silerton,Silerton town,"Silerton town, Tennessee",TN,Tennessee,47069,False
4718820,place,Cumberland City,Cumberland City town,"Cumberland City town, Tennessee",TN,Tennessee,47161,False
4731820,place,Halls,Halls town,"Halls town, Tennessee",TN,Tennessee,47097,False
4733360,place,Henning,Henning town,"Henning town, Tennessee",TN,Tennessee,47097,False
4763340,place,Ripley,Ripley city,"Ripley city, Tennessee",TN,Tennessee,47097,False
4722720,place,East Ridge,East Ridge city,"East Ridge city, Tennessee",TN,Tennessee,47065,False
4740540,place,Lakesite,Lakesite city,"Lakesite city, Tennessee",TN,Tennessee,47065,False
4761960,place,Red Bank,Red Bank city,"Red Bank city, Tennessee",TN,Tennessee,47065,False
4763080,place,Ridgeside,Ridgeside city,"Ridgeside city, Tennessee",TN,Tennessee,47065,False
4773460,place,Tennessee Ridge,Tennessee Ridge town,"Tennessee Ridge town, Tennessee",TN,Tennessee,47083,False
4700640,place,Algood,Algood city,"Algood city, Tennessee",TN,Tennessee,47141,False
4766880,place,Scotts Hill,Scotts Hill town,"Scotts Hill town, Tennessee",TN,Tennessee,47077,False
4779980,place,White Bluff,White Bluff town,"White Bluff town, Tennessee",TN,Tennessee,47043,False
4720620,place,Dickson,Dickson city,"Dickson city, Tennessee",TN,Tennessee,47043,False
4756870,place,Parker's Crossroads,Parker's Crossroads city,"Parker's Crossroads city, Tennessee",TN,Tennessee,47077,False
4766660,place,Sardis,Sardis town,"Sardis town, Tennessee",TN,Tennessee,47077,False
4701640,place,Ardmore,Ardmore city,"Ardmore city, Tennessee",TN,Tennessee,47055,False
4723660,place,Elkton,Elkton city,"Elkton city, Tennessee",TN,Tennessee,47055,False
4744420,place,Lynnville,Lynnville town,"Lynnville town, Tennessee",TN,Tennessee,47055,False
4742720,place,Linden,Linden town,"Linden town, Tennessee",TN,Tennessee,47135,False
4743160,place,Lobelville,Lobelville city,"Lobelville city, Tennessee",TN,Tennessee,47135,False
4756040,place,Orme,Orme town,"Orme town, Tennessee",TN,Tennessee,47115,False
4760500,place,Powells Crossroads,Powells Crossroads town,"Powells Crossroads town, Tennessee",TN,Tennessee,47115,False
4709880,place,Burns,Burns town,"Burns town, Tennessee",TN,Tennessee,47043,False
4713080,place,Charlotte,Charlotte town,"Charlotte town, Tennessee",TN,Tennessee,47043,False
4770180,place,Sparta,Sparta city,"Sparta city, Tennessee",TN,Tennessee,47185,False
4769080,place,Slayden,Slayden town,"Slayden town, Tennessee",TN,Tennessee,47043,False
4776860,place,Vanleer,Vanleer town,"Vanleer town, Tennessee",TN,Tennessee,47043,False
4724240,place,Enville,Enville town,"Enville town, Tennessee",TN,Tennessee,47023,False
4748920,place,Milledgeville,Milledgeville town,"Milledgeville town, Tennessee",TN,Tennessee,47109,False
4731490,place,Gruetli-Laager,Gruetli-Laager city,"Gruetli-Laager city, Tennessee",TN,Tennessee,47061,False
4774880,place,Tracy City,Tracy City town,"Tracy City town, Tennessee",TN,Tennessee,47061,False
4756560,place,Palmer,Palmer town,"Palmer town, Tennessee",TN,Tennessee,47061,False
4722180,place,Dyer,Dyer city,"Dyer city, Tennessee",TN,Tennessee,47053,False
4770820,place,Stanton,Stanton town,"Stanton town, Tennessee",TN,Tennessee,47075,False
4769320,place,Smithville,Smithville city,"Smithville city, Tennessee",TN,Tennessee,47041,False
4753580,place,Normandy,Normandy town,"Normandy town, Tennessee",TN,Tennessee,47003,False
4764668,place,Rocky Top,Rocky Top city,"Rocky Top city, Tennessee",TN,Tennessee,47001,False
4709860,place,Burlison,Burlison town,"Burlison town, Tennessee",TN,Tennessee,47167,False
4717680,place,Covington,Covington city,"Covington city, Tennessee",TN,Tennessee,47167,False
4729160,place,Gilt Edge,Gilt Edge city,"Gilt Edge city, Tennessee",TN,Tennessee,47167,False
4746420,place,Mason,Mason town,"Mason town, Tennessee",TN,Tennessee,47167,False
4751540,place,Munford,Munford city,"Munford city, Tennessee",TN,Tennessee,47167,False
4743140,place,Livingston,Livingston town,"Livingston town, Tennessee",TN,Tennessee,47133,False
4718420,place,Cross Plains,Cross Plains city,"Cross Plains city, Tennessee",TN,Tennessee,47147,False
4748980,place,Millersville,Millersville city,"Millersville city, Tennessee",TN,Tennessee,47165,False
4780200,place,White House,White House city,"White House city, Tennessee",TN,Tennessee,47147,False
4750400,place,Mountain City,Mountain City town,"Mountain City town, Tennessee",TN,Tennessee,47091,False
4710180,place,Byrdstown,Byrdstown town,"Byrdstown town, Tennessee",TN,Tennessee,47137,False
4737600,place,Jacksboro,Jacksboro town,"Jacksboro town, Tennessee",TN,Tennessee,47013,False
4753460,place,Nolensville,Nolensville town,"Nolensville town, Tennessee",TN,Tennessee,47187,False
4735160,place,Hohenwald,Hohenwald city,"Hohenwald city, Tennessee",TN,Tennessee,47101,False
4773900,place,Thompson's Station,Thompson's Station town,"Thompson's Station town, Tennessee",TN,Tennessee,47187,False
4715580,place,Clinton,Clinton city,"Clinton city, Tennessee",TN,Tennessee,47001,False
4755120,place,Oak Ridge,Oak Ridge city,"Oak Ridge city, Tennessee",TN,Tennessee,47001,False
4743700,place,Loretto,Loretto city,"Loretto city, Tennessee",TN,Tennessee,47099,False
4766160,place,St. Joseph,St. Joseph city,"St. Joseph city, Tennessee",TN,Tennessee,47099,False
4724460,place,Ethridge,Ethridge town,"Ethridge town, Tennessee",TN,Tennessee,47099,False
4708540,place,Bristol,Bristol city,"Bristol city, Tennessee",TN,Tennessee,47163,False
